entry_code,quality,color,density,rust,seedling_vigor,texture,uniformity
35,0.086668458,0.157480582,-0.252532443,0.12015853,-0.333226839,-0.132611738,-0.215369625
36,0.081482977,0.387091106,0.43267813,0.574109602,0.345918166,0.31214863,0.442627256
37,0.074600663,-0.054731158,-0.036487112,-0.387742786,-0.30231701,-0.572200653,-0.342039893
38,0.063357379,0.07118873,0.05572213,0.051271607,-0.527655131,-0.126427313,-0.602487842
39,0.061897322,-0.26823031,0.133442372,0.526769972,-0.139445045,-0.017713167,-0.651328488
40,0.044494509,-0.589710581,0.172890377,0.038872328,-0.607798319,-0.224600597,-0.696349638
41,0.037921084,0.004074465,0.30377689,0.053116131,-1.562632476,-0.316446488,-0.98564038
42,0.025622683,-0.019798816,-0.032785434,0.067270193,-0.666759574,-0.163317725,-0.618746204
43,0.024528873,0.327547849,0.131161401,0.255901112,-0.385191507,-0.171424533,-0.283439633
44,0.018044774,0.688256865,-0.01994605,0.54245671,0.96496417,0.427410894,0.502842331
45,0.002565698,0.155248222,0.38417074,0.508778429,0.69786275,0.208560153,-0.079821747
46,-0.030773147,1.327855992,0.319992627,0.885745004,1.193618896,0.26011097,0.327208647
47,-0.035052264,0.64909058,-0.085920058,0.133315906,-0.216869465,0.059010908,-0.136256803
48,-0.046535393,-0.010925359,-0.070954328,0.045621765,-0.016367478,0.224029983,0.414805343
49,-0.055864852,0.011909211,0.055086037,-0.190823585,0.699154864,0.18316206,0.605106223
50,-0.102512676,0.059333175,0.168620684,0.257392403,-0.176296053,-0.302565637,-0.028147437
51,-0.113529761,0.623042341,0.034586086,0.555608971,0.146501186,-0.049888452,-0.150474885
52,-0.115574805,0.472651864,0.130720644,0.385996657,0.881309728,0.47144715,0.284522137
53,-0.122845898,0.13962614,0.114933706,0.157541293,0.960419291,0.337980767,0.3744651
54,-0.129138388,-1.292657049,-0.163916626,-0.99540631,0.125178849,0.425814347,0.554237593
55,-0.132486607,0.078597197,-0.171898231,0.204255869,0.650324691,0.374472869,0.625135337
56,-0.14352515,-0.062405246,-0.143988564,-0.154587434,0.373496967,0.119820814,0.278627556
57,-0.167229199,1.115634562,-0.210970009,-0.107668994,0.01318335,0.129027205,-0.097145426
58,-0.168615031,0.617470838,0.096956453,0.4358549,-0.986732516,0.099114446,-0.553320426
59,-0.210168928,0.248883675,-0.139620896,-0.078536115,-0.430094839,-0.036313228,-0.307894105
60,-0.225547171,0.062789547,-0.308722296,0.259068311,-0.752379043,-0.194744225,-0.268330691
61,-0.237937522,0.083222159,-0.148481421,0.289004796,-0.233969156,0.137131804,-0.029845655
62,-0.245088744,-0.128188166,0.145436484,-0.118229345,-0.286206119,0.072130815,-0.093328311
63,-0.24708972,0.336475738,-0.137004545,0.61983054,1.355634428,0.446637028,-0.018630465
64,-0.252888598,0.020970579,-0.290293089,-0.74236717,-0.544034146,-0.02112756,-0.578678917
65,-0.26319031,-0.513339035,-0.143020478,-0.043108899,0.002218309,0.41774968,0.531042009
66,-0.268902311,0.060295881,-0.172651156,0.304479571,0.669331203,0.301610418,-0.318592361
67,-0.284251101,-0.475746539,-0.183592486,-0.231766599,-1.380635273,-0.564702828,-0.33906035
68,-0.310754518,-0.579536834,-0.039274397,-0.249457569,-0.688966674,0.090629,-0.198837098
69,-0.322839647,0.219798971,0.044727977,0.099022904,-0.479871374,-0.034847154,-0.049756007
70,-0.33176538,-0.328066537,-0.424510993,0.107826208,-0.106864217,0.13925602,-0.458074031
71,-0.333450747,-0.538020058,-0.190950145,-0.515467875,-1.196023794,-0.16249153,-0.199618732
72,-0.343859837,-0.157077294,-0.326099423,-0.333000144,-0.437750497,0.067884751,-0.179739457
73,-0.347088425,0.106043378,-0.069533058,-0.123871716,-0.021084778,0.086877884,0.323868898
74,-0.350519279,-0.272285531,0.090943523,-0.020470884,0.133565939,0.18615997,0.667543241
75,-0.374018239,0.889354038,-0.131694963,0.296031161,0.520294681,0.337613437,0.502721794
76,-0.379659107,0.691862835,-0.208732574,0.335135492,0.517070034,0.409084518,0.956978993
77,-0.386297142,-0.087688871,-0.028857104,-0.431445269,-0.016890682,-0.059043504,0.184666222
78,-0.394165124,0.623318874,-0.177259111,0.241041842,0.067239938,0.522189407,0.168705693
79,-0.400534731,0.029649401,0.025099145,-0.057900405,0.421655966,0.19987706,0.793694952
80,-0.4015374,-0.936178157,-0.323990645,-0.615112773,-0.538603358,-0.159857798,0.089923908
