ENTRY_NAME,Overall Quality,Spring Green Up,Summer Patch,Genetic Color,Uniformity,Texture,Density
DLFPS-340/3446,0.024528873494333300,0.32754784927201300,0.1311614005345,0.2559011122137830,-0.3851915073193330,-0.17142453284426700,-0.28343963328571700
BAR PP 79366,0.018044774258533300,0.6882568649203330,-0.019946049510883300,0.5424567095083330,0.9649641700333330,0.42741089422941700,0.5028423307967670
DLFPS-340/3552,0.0025656983600500000,0.15524822162213300,0.38417074028166700,0.50877842868,0.6978627500166670,0.20856015263666700,-0.07982174710615330
PPG-KB 1304,-0.030773146810533300,1.32785599165,0.31999262680283300,0.8857450042666670,1.1936188965000000,0.2601109701965,0.32720864735555
Jersey (NAI-A16-3),-0.035052264442,0.6490905797983330,-0.08592005832043330,0.13331590643980000,-0.2168694652885,0.0590109075803,-0.13625680300321700
A15-6,-0.046535392741216700,-0.01092535913,-0.07095432755098330,0.04562176500061670,-0.01636747754083330,0.2240299825001,0.41480534289400000
NuRush (J-3510),-0.05586485176690330,0.011909210746816700,0.055086036829705000,-0.19082358492685,0.6991548643833330,0.183162060412,0.605106222855
A06-8,-0.10251267585883300,0.059333174865100000,0.16862068391090000,0.2573924034407,-0.17629605272283300,-0.3025656365823330,-0.02814743714
DLFPS-340/3438,-0.11352976084816700,0.6230423408115,0.034586085644516700,0.5556089706176670,0.1465011861443200,-0.04988845248183330,-0.15047488515511700
A13-1,-0.11557480490606700,0.472651864311,0.13072064365578300,0.38599665718616700,0.8813097282833330,0.47144715046,0.28452213730595
A99-2897,-0.12284589821133300,0.13962613985473300,0.11493370560685000,0.15754129322634,0.9604192905416670,0.33798076673866700,0.3744650998959
After Midnight,-0.12913838753206700,-1.2926570486666700,-0.16391662550108300,-0.9954063098333330,0.12517884876618300,0.42581434739150000,0.55423759305
J-1138,-0.13248660712246700,0.07859719651583330,-0.17189823055546700,0.20425586908100000,0.6503246908333330,0.37447286862566700,0.62513533653
Midnight,-0.14352514994831700,-0.06240524624873330,-0.14398856419031700,-0.15458743429290700,0.3734969667627,0.11982081393940000,0.2786275557403330
A11-40,-0.16722919908761700,1.1156345623166700,-0.21097000933898300,-0.10766899401188300,0.013183350119066700,0.12902720495336700,-0.09714542565308720
RAD-1776,-0.1686150312345,0.6174708376525,0.09695645342881670,0.4358548999296,-0.98673251606,0.09911444628126670,-0.5533204261755
Babe,-0.21016892762583300,0.24888367457381700,-0.13962089648017300,-0.07853611474415000,-0.430094838645,-0.03631322779206830,-0.3078941051465
